date|value
2019-01-23|2.93
2019-01-24|2.89
2019-01-25|2.92
2019-01-28|2.92
2019-01-29|2.90
2019-01-30|2.90
2019-01-31|2.83
2019-02-01|2.88
2019-02-04|2.92
2019-02-05|2.89
2019-02-06|2.88
2019-02-07|2.85
2019-02-08|2.82
2019-02-11|2.85
2019-02-12|2.87
2019-02-13|2.89
2019-02-14|2.85
2019-02-15|2.84
2019-02-18|.
2019-02-19|2.84
2019-02-20|2.84
2019-02-21|2.89
2019-02-22|2.86
2019-02-25|2.87
2019-02-26|2.84
2019-02-27|2.91
2019-02-28|2.94
2019-03-01|2.97
2019-03-04|2.93
2019-03-05|2.93
2019-03-06|2.90
2019-03-07|2.86
2019-03-08|2.83
2019-03-11|2.86
2019-03-12|2.82
2019-03-13|2.82
2019-03-14|2.86
2019-03-15|2.83
2019-03-18|2.83
2019-03-19|2.84
2019-03-20|2.79
2019-03-21|2.78
2019-03-22|2.69
2019-03-25|2.68
2019-03-26|2.67
2019-03-27|2.63
2019-03-28|2.62
2019-03-29|2.63
2019-04-01|2.71
2019-04-02|2.70
2019-04-03|2.75
2019-04-04|2.74
2019-04-05|2.72
2019-04-08|2.74
2019-04-09|2.73
2019-04-10|2.71
2019-04-11|2.74
2019-04-12|2.78
2019-04-15|2.77
2019-04-16|2.81
2019-04-17|2.81
2019-04-18|2.78
2019-04-19|.
2019-04-22|2.82
2019-04-23|2.81
2019-04-24|2.76
2019-04-25|2.76
2019-04-26|2.74
2019-04-29|2.78
2019-04-30|2.75
2019-05-01|2.74
2019-05-02|2.77
2019-05-03|2.75
2019-05-06|2.73
2019-05-07|2.68
2019-05-08|2.71
2019-05-09|2.69
2019-05-10|2.70
2019-05-13|2.65
2019-05-14|2.67
2019-05-15|2.63
2019-05-16|2.65
2019-05-17|2.63
2019-05-20|2.65
2019-05-21|2.67
2019-05-22|2.64
2019-05-23|2.56
2019-05-24|2.57
2019-05-27|.
2019-05-28|2.52
2019-05-29|2.50
2019-05-30|2.46
2019-05-31|2.39
2019-06-03|2.34
2019-06-04|2.41
2019-06-05|2.42
2019-06-06|2.42
2019-06-07|2.36
2019-06-10|2.42
2019-06-11|2.42
2019-06-12|2.41
2019-06-13|2.39
2019-06-14|2.38
2019-06-17|2.37
2019-06-18|2.34
2019-06-19|2.32
2019-06-20|2.31
2019-06-21|2.37
2019-06-24|2.33
2019-06-25|2.31
2019-06-26|2.35
