date|value
2018-10-08|.
2018-10-09|2.17
2018-10-10|2.16
2018-10-11|2.12
2018-10-12|2.12
2018-10-15|2.13
2018-10-16|2.13
2018-10-17|2.13
2018-10-18|2.1
2018-10-19|2.11
2018-10-22|2.11
2018-10-23|2.09
2018-10-24|2.07
2018-10-25|2.05
2018-10-26|2.06
2018-10-29|2.06
2018-10-30|2.05
2018-10-31|2.05
2018-11-01|2.02
2018-11-02|2.06
2018-11-05|2.06
2018-11-06|2.07
2018-11-07|2.07
2018-11-08|2.07
2018-11-09|2.04
2018-11-12|.
2018-11-13|2.02
2018-11-14|2.0
2018-11-15|2.0
2018-11-16|2.02
2018-11-19|1.99
2018-11-20|1.97
2018-11-21|1.97
2018-11-22|.
2018-11-23|1.96
2018-11-26|1.96
2018-11-27|1.91
2018-11-28|1.94
2018-11-29|1.98
2018-11-30|1.97
2018-12-03|1.96
2018-12-04|1.94
2018-12-05|.
2018-12-06|1.9
2018-12-07|1.89
2018-12-10|1.86
2018-12-11|1.83
2018-12-12|1.83
2018-12-13|1.83
2018-12-14|1.82
2018-12-17|1.81
2018-12-18|1.81
2018-12-19|1.8
2018-12-20|1.76
2018-12-21|1.77
2018-12-24|1.75
2018-12-25|.
2018-12-26|1.77
2018-12-27|1.74
2018-12-28|1.73
2018-12-31|1.71
2019-01-01|.
2019-01-02|1.7
2019-01-03|1.68
2019-01-04|1.76
2019-01-07|1.78
2019-01-08|1.82
2019-01-09|1.83
2019-01-10|1.81
2019-01-11|1.83
2019-01-14|1.81
2019-01-15|1.81
2019-01-16|1.82
2019-01-17|1.79
2019-01-18|1.83
2019-01-21|.
2019-01-22|1.79
2019-01-23|1.8
2019-01-24|1.77
2019-01-25|1.79
2019-01-28|1.78
2019-01-29|1.78
2019-01-30|1.84
2019-01-31|1.85
2019-02-01|1.88
2019-02-04|1.87
2019-02-05|1.87
2019-02-06|1.86
2019-02-07|1.84
2019-02-08|1.82
2019-02-11|1.82
2019-02-12|1.83
2019-02-13|1.86
2019-02-14|1.85
2019-02-15|1.86
2019-02-18|.
2019-02-19|1.87
2019-02-20|1.89
2019-02-21|1.91
2019-02-22|1.91
2019-02-25|1.92
2019-02-26|1.92
2019-02-27|1.93
2019-02-28|1.95
2019-03-01|1.96
2019-03-04|1.94
2019-03-05|1.93
2019-03-06|1.91
2019-03-07|1.9
2019-03-08|1.9
2019-03-11|1.91
2019-03-12|1.9
2019-03-13|1.92
2019-03-14|1.94
2019-03-15|1.94
2019-03-18|1.96
2019-03-19|1.95
2019-03-20|1.96
2019-03-21|1.96
2019-03-22|1.9
2019-03-25|1.88
2019-03-26|1.86
2019-03-27|1.84
2019-03-28|1.83
2019-03-29|1.88
2019-04-01|1.9
2019-04-02|1.9
2019-04-03|1.91
2019-04-04|1.9
2019-04-05|1.9
2019-04-08|1.91
2019-04-09|1.91
2019-04-10|1.94
2019-04-11|1.94
2019-04-12|1.95
2019-04-15|1.94
2019-04-16|1.96
2019-04-17|1.94
2019-04-18|1.95
2019-04-19|.
2019-04-22|1.95
2019-04-23|1.95
2019-04-24|1.96
2019-04-25|1.98
2019-04-26|1.97
2019-04-29|1.96
2019-04-30|1.95
2019-05-01|1.93
2019-05-02|1.89
2019-05-03|1.91
2019-05-06|1.91
2019-05-07|1.87
2019-05-08|1.87
2019-05-09|1.85
2019-05-10|1.88
2019-05-13|1.85
2019-05-14|1.86
2019-05-15|1.83
2019-05-16|1.84
2019-05-17|1.81
2019-05-20|1.81
2019-05-21|1.83
2019-05-22|1.79
2019-05-23|1.73
2019-05-24|1.76
2019-05-27|.
2019-05-28|1.73
2019-05-29|1.75
2019-05-30|1.74
2019-05-31|1.74
2019-06-03|1.73
2019-06-04|1.74
2019-06-05|1.75
2019-06-06|1.73
2019-06-07|1.74
2019-06-10|1.73
2019-06-11|1.72
2019-06-12|1.71
2019-06-13|1.68
2019-06-14|1.63
2019-06-17|1.61
2019-06-18|1.64
2019-06-19|1.67
2019-06-20|1.74
2019-06-21|1.73
2019-06-24|1.71
2019-06-25|1.67
2019-06-26|1.7
2019-06-27|1.68
2019-06-28|1.69
2019-07-01|1.69
2019-07-02|1.65
2019-07-03|1.65
2019-07-04|.
2019-07-05|1.69
2019-07-08|1.7
2019-07-09|1.71
2019-07-10|1.74
2019-07-11|1.77
2019-07-12|1.77
2019-07-15|1.77
2019-07-16|1.8
2019-07-17|1.75
2019-07-18|1.79
2019-07-19|1.8
2019-07-22|1.79
2019-07-23|1.81
2019-07-24|1.79
2019-07-25|1.8
2019-07-26|1.78
2019-07-29|1.77
2019-07-30|1.78
2019-07-31|1.76
2019-08-01|1.7
2019-08-02|1.66
2019-08-05|1.6
2019-08-06|1.62
2019-08-07|1.62
2019-08-08|1.65
2019-08-09|1.66
2019-08-12|1.61
2019-08-13|1.63
2019-08-14|1.57
2019-08-15|1.54
2019-08-16|1.54
2019-08-19|1.56
2019-08-20|1.53
2019-08-21|1.54
2019-08-22|1.55
2019-08-23|1.54
2019-08-26|1.54
